;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
261;252;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;6;1;- Ничего пока сказать не могу. Надо подумать. Звоните мне после отпуска.;нет;-;E3_5_6_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;dialog;да
262;253;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;6;2;- С Денежной и контактируйте. А сроки – пока не знаю. Пять лет – дело серьезное, надо старые базы доставать. Все вопросы – к ней.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;dialog;да
263;254;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;6;3;- Данные для вас подготовит Марина Крутько. Сроки - думаю, что не меньше недели потребуется. Свяжитесь с ней.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;dialog;да
264;255;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;обольстительно, кокетливо;1;уравновешенное;7;0;- Ну и ну, засиделась я у вас! Если собеседник интересный, время просто летит. А ко мне у вас вопросы есть?;нет;-;E3_5_7_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_7.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
265;256;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;7;1;- Нет, спасибо. Был рад знакомству! ;да;T;E3_5_7_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
266;257;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;7;2;- Конечно, есть. Вы  о стратегическом комитете говорили, о совместной работе. Расскажите подробнее, как туда попасть.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
267;258;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;7;3;- Вопросов у меня много, только времени мало. Знал бы, что встреча будет такой бесполезной – ни за что бы не согласился. ;да;T;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
268;259;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;8;0;- О, стратегический комитет – это мое детище! Пока он состоит из четырех человек – Босс, Денежная, я и мой руководитель. Но это только начало. Мы его планируем расширять за счет перспективных сотрудников, которые возьмут на себя часть функций. Большего пока сказать не могу – все еще только формируется. Да вы не волнуйтесь, ваш профессионализм и молодость говорят за себя. Да и я могу словечко замолвить. Только добром за добро – данные бы мне побыстрей, хорошо? Ну что ж, пора, благодарю за беседу!;да;T;E3_5_8_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_8.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
269;;ET3.2;ВСТРЕЧА С КЛИЕНТОМ ;;25;25;;1;;1;0;стук в дверь;нет;-;-;;;Стук в дверь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
270;260;ET3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;-;25;уравновешенное;1;1;впустить;да;E3.2;-;#N/A;;Стук в дверь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
271;261;ET3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;-;25;уравновешенное;1;2;не впустить;да;S2;-;#N/A;;Стук в дверь;F12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
272;262;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;позитивное;1;уравновешенное;1;0;- Хорошо, что все-таки удалось повидаться. Я уж думал, никуда не успею. Ну как там твой бюджет?;нет;-;E3_2_1_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_1.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
273;263;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;1;1;- Сделал, прямо перед тобой отправил.;нет;-;E3_2_1_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
274;264;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;1;2;- Да возимся еще, надеюсь, к обеду будет.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
275;265;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;1;3;- Придется переносить на завтра, можем не успеть.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
276;266;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;задумчиво;1;уравновешенное;2;0;- Да уж. Может и не лучшее сейчас время долгосрочные вопросы обсуждать. Хотя, весь год так. То бюджет, то отчет, то Новый год и так по кругу… Не будем откладывать в долгий ящик. К делу! Напомни нам обоим, в чем вопрос.;нет;-;E3_2_2_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_2.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
277;267;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;2;1;Давай по порядку. Мы получаем от вас данные о продажах в виде простого файла формата word, которые потом мой аналитик вбивает в информационную систему вручную. Так как ассортимент очень широкий, около пяти тысяч наименований, а клиент вы крупный, за что спасибо, конечно, данные от вас приходят каждый день огромными файлами.  Не получать их я не могу – эти данные нужны нашим логистам и производственникам, чтобы управлять запасами и планом производства. Но теперешняя скорость обработки данных их не устраивает – они запаздывают с решениями. Резюме, мне бы хотелось получать данные от вас в таком виде, который позволял бы автоматически интегрировать их в нашу информационную систему!;нет;-;E3_2_2_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
278;268;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;деловито;1;уравновешенное;3;0;- Дополню, что информационные системы у нас разные. Мы менять информационную систему не станем, вы тоже не собираетесь, а ведь проблема-то скорее ваша, чем наша! Нас нынешняя модель вполне устраивает! ;нет;-;E3_2_3_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
279;269;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;3;1;- Это только на первый взгляд проблема наша, а на самом деле она и вас касается. Ведь задержка решений в логистике и производстве – это отсутствие товара у вас в магазинах. Давай прикинем, сколько вы теряете на том, что 5-10 самых продаваемых позиций отсутствуют у вас, скажем, неделю.;нет;-;E3_2_3_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;dialog;да
280;270;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;3;2;- Ну, знаешь, мы ведь в одной упряжке. Сегодня мне что-то нужно, завтра – тебе. Вот, например, ты просил у меня данные по рынку, которые мы собираем по своим клиентам. Я же готов тебе помочь!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
281;271;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;3;3;- Что происходит? Ты ведь по телефону говорил, что проблема действительно существует и ты готов ее обсуждать. Мы же только потому нашу встречу и назначили! ;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
282;272;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;весело;1;уравновешенное;4;0;- Ха-ха-ха...А ты хитер! Пойми меня правильно, я не отказываюсь помочь. Если бы все зависело только от меня, я бы вообще на вашу информационную систему перешел. Но простого решения мы, скорее всего, не найдем, так что вопрос придется обсуждать на более высоком уровне. А там – сплошные экономические расклады. Такие понятия, как дружба и взаимовыручка, не монетизируешь...ха-ха-ха. Кстати, мне только что пришло в голову… А зачем нам вообще по поводу информационных систем  бодаться? Найми ты себе еще с пяток аналитиков, будут укладываться за час. И логист с производственником довольны, и ты большим начальником станешь! Ха-ха-ха...;нет;-;E3_2_4_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_4.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
283;273;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;4;1;- Да я тоже об этом думал, но, увы, эта идея противоречит современной политике. Я имею в виду сокращение затрат. ;нет;-;E3_2_4_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
284;274;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;4;2;- Если бы все было так просто, я бы давно уже сам все сделал. Только загвоздка в том, что у нас много клиентов и много отчетов, а по мере  роста будет еще больше. Не набирать же мне армию аналитиков!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
285;275;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;деловито;1;уравновешенное;5;0;- Смешно экономить на шпильках и упускать большой куш. Ты же сам говоришь, что решения запаздывают, товара в магазинах нет. А сколько вы на этом теряете, вы считали?;нет;-;E3_2_5_a_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_5.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
286;276;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;5;1;- Чего тут считать! Понятно же, что проблема есть и ее надо решать.;нет;-;E3_2_5_a_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
287;277;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;5;2;- Нет, не считали…Ты прав, Иван!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
288;278;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;деловито;1;уравновешенное;6;0;- Вот именно! А стоило бы посчитать. Может статься, что пока мы тут разговоры разговариваем и решения изобретаем, вы  миллионы теряете. А два дополнительных аналитика обойдутся куда дешевле. ;нет;-;E3_2_6_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_6.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
289;279;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;6;1;- Наверное, ты прав. Может, пока на этом и остановимся? Мне надо подумать-посчитать.;нет;-;E3_2_6_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
290;280;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;1;уравновешенное;25;уравновешенное;6;2;- Хорошо. Я просчитаю затраты на двух дополнительных аналитиков. Но на самом деле мы таким образом лишь оттянем решение основного вопроса, потому что отчеты от других клиентов тоже надо обрабатывать.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
291;281;E3.2;ВСТРЕЧА С КЛИЕНТОМ ;;;25;позитивное;1;уравновешенное;7;0;- Хорошо, раз уж я здесь, давай обдумаем и другие варианты. Итак, в идеале я должен вам пересылать данные в некоем электронном формате, который ваша система будет прочитывать и раскладывать по нужным ячейкам, так?;нет;-;E3_2_7_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.2_7.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
